,team_traded_x,team_trade_with_x,Count_x,team_traded_y,team_trade_with_y,Count_y,total
0,ANA,ARI,20,ARI,ANA,13,33
1,ANA,BOS,44,BOS,ANA,304,348
2,ANA,BUF,22,BUF,ANA,142,164
3,ANA,CAR,25,CAR,ANA,20,45
4,ANA,CBJ,19,CBJ,ANA,56,75
5,ANA,CGY,11,CGY,ANA,44,55
6,ANA,CHI,14,CHI,ANA,26,40
7,ANA,COL,28,COL,ANA,52,80
8,ANA,DAL,12,DAL,ANA,15,27
9,ANA,DET,7,DET,ANA,41,48
10,ANA,EDM,17,EDM,ANA,192,209
11,ANA,FLA,6,FLA,ANA,10,16
12,ANA,LAK,13,LAK,ANA,40,53
13,ANA,MIN,20,MIN,ANA,39,59
14,ANA,MTL,26,MTL,ANA,176,202
15,ANA,NJD,17,NJD,ANA,52,69
16,ANA,NSH,5,NSH,ANA,14,19
17,ANA,NYI,20,NYI,ANA,38,58
18,ANA,NYR,10,NYR,ANA,81,91
19,ANA,OTT,25,OTT,ANA,96,121
20,ANA,PHI,7,PHI,ANA,64,71
21,ANA,PIT,51,PIT,ANA,384,435
22,ANA,SEA,13,SEA,ANA,9,22
23,ANA,SJS,4,SJS,ANA,18,22
24,ANA,STL,14,STL,ANA,48,62
25,ANA,TBL,12,TBL,ANA,35,47
26,ANA,TOR,38,TOR,ANA,491,529
27,ANA,VAN,47,VAN,ANA,309,356
28,ANA,VGK,15,VGK,ANA,9,24
29,ANA,WPG,10,WPG,ANA,66,76
30,ANA,WSH,14,WSH,ANA,35,49
31,ARI,ANA,13,ANA,ARI,20,33
32,ARI,BOS,26,BOS,ARI,174,200
33,ARI,BUF,11,BUF,ARI,172,183
34,ARI,CAR,12,CAR,ARI,97,109
35,ARI,CBJ,18,CBJ,ARI,57,75
36,ARI,CGY,16,CGY,ARI,92,108
37,ARI,CHI,23,CHI,ARI,59,82
38,ARI,COL,22,COL,ARI,86,108
39,ARI,DAL,9,DAL,ARI,18,27
40,ARI,DET,20,DET,ARI,105,125
41,ARI,EDM,26,EDM,ARI,182,208
42,ARI,FLA,10,FLA,ARI,16,26
43,ARI,LAK,20,LAK,ARI,39,59
44,ARI,MIN,15,MIN,ARI,65,80
45,ARI,MTL,26,MTL,ARI,257,283
46,ARI,NJD,16,NJD,ARI,77,93
47,ARI,NSH,9,NSH,ARI,36,45
48,ARI,NYI,20,NYI,ARI,87,107
49,ARI,NYR,21,NYR,ARI,78,99
50,ARI,OTT,13,OTT,ARI,178,191
51,ARI,PHI,18,PHI,ARI,75,93
52,ARI,PIT,30,PIT,ARI,406,436
53,ARI,SEA,10,SEA,ARI,21,31
54,ARI,SJS,11,SJS,ARI,37,48
55,ARI,STL,18,STL,ARI,65,83
56,ARI,TBL,9,TBL,ARI,96,105
57,ARI,TOR,51,TOR,ARI,919,970
58,ARI,VAN,50,VAN,ARI,235,285
59,ARI,VGK,13,VGK,ARI,13,26
60,ARI,WPG,18,WPG,ARI,111,129
61,ARI,WSH,27,WSH,ARI,133,160
62,BOS,ANA,304,ANA,BOS,44,348
63,BOS,ARI,174,ARI,BOS,26,200
64,BOS,BUF,62,BUF,BOS,48,110
65,BOS,CAR,74,CAR,BOS,43,117
66,BOS,CBJ,145,CBJ,BOS,51,196
67,BOS,CGY,118,CGY,BOS,29,147
68,BOS,CHI,147,CHI,BOS,67,214
69,BOS,COL,86,COL,BOS,22,108
70,BOS,DAL,44,DAL,BOS,5,49
71,BOS,DET,51,DET,BOS,33,84
72,BOS,EDM,101,EDM,BOS,75,176
73,BOS,FLA,25,FLA,BOS,4,29
74,BOS,LAK,231,LAK,BOS,16,247
75,BOS,MIN,41,MIN,BOS,7,48
76,BOS,MTL,25,MTL,BOS,29,54
77,BOS,NJD,74,NJD,BOS,62,136
78,BOS,NSH,59,NSH,BOS,8,67
79,BOS,NYI,29,NYI,BOS,18,47
80,BOS,NYR,13,NYR,BOS,15,28
81,BOS,OTT,73,OTT,BOS,57,130
82,BOS,PHI,41,PHI,BOS,33,74
83,BOS,PIT,218,PIT,BOS,183,401
84,BOS,SEA,139,SEA,BOS,12,151
85,BOS,SJS,48,SJS,BOS,23,71
86,BOS,STL,45,STL,BOS,20,65
87,BOS,TBL,4,TBL,BOS,2,6
88,BOS,TOR,14,TOR,BOS,66,80
89,BOS,VAN,44,VAN,BOS,92,136
90,BOS,VGK,21,VGK,BOS,6,27
91,BOS,WPG,63,WPG,BOS,75,138
92,BOS,WSH,61,WSH,BOS,32,93
93,BUF,ANA,142,ANA,BUF,22,164
94,BUF,ARI,172,ARI,BUF,11,183
95,BUF,BOS,48,BOS,BUF,62,110
96,BUF,CAR,137,CAR,BUF,40,177
97,BUF,CBJ,60,CBJ,BUF,14,74
98,BUF,CGY,130,CGY,BUF,102,232
99,BUF,CHI,93,CHI,BUF,77,170
100,BUF,COL,43,COL,BUF,26,69
101,BUF,DAL,59,DAL,BUF,10,69
102,BUF,DET,17,DET,BUF,8,25
103,BUF,EDM,38,EDM,BUF,67,105
104,BUF,FLA,28,FLA,BUF,11,39
105,BUF,LAK,74,LAK,BUF,31,105
106,BUF,MIN,85,MIN,BUF,64,149
107,BUF,MTL,34,MTL,BUF,69,103
108,BUF,NJD,20,NJD,BUF,34,54
109,BUF,NSH,127,NSH,BUF,29,156
110,BUF,NYI,64,NYI,BUF,19,83
111,BUF,NYR,35,NYR,BUF,55,90
112,BUF,OTT,29,OTT,BUF,29,58
113,BUF,PHI,113,PHI,BUF,66,179
114,BUF,PIT,85,PIT,BUF,142,227
115,BUF,SEA,105,SEA,BUF,11,116
116,BUF,SJS,74,SJS,BUF,29,103
117,BUF,STL,48,STL,BUF,23,71
118,BUF,TBL,53,TBL,BUF,20,73
119,BUF,TOR,49,TOR,BUF,235,284
120,BUF,VAN,83,VAN,BUF,74,157
121,BUF,VGK,61,VGK,BUF,8,69
122,BUF,WPG,304,WPG,BUF,194,498
123,BUF,WSH,62,WSH,BUF,17,79
124,CAR,ANA,20,ANA,CAR,25,45
125,CAR,ARI,97,ARI,CAR,12,109
126,CAR,BOS,43,BOS,CAR,74,117
127,CAR,BUF,40,BUF,CAR,137,177
128,CAR,CBJ,20,CBJ,CAR,20,40
129,CAR,CGY,64,CGY,CAR,102,166
130,CAR,CHI,18,CHI,CAR,18,36
131,CAR,COL,7,COL,CAR,28,35
132,CAR,DAL,6,DAL,CAR,8,14
133,CAR,DET,16,DET,CAR,24,40
134,CAR,EDM,21,EDM,CAR,129,150
135,CAR,FLA,10,FLA,CAR,9,19
136,CAR,LAK,28,LAK,CAR,18,46
137,CAR,MIN,12,MIN,CAR,16,28
138,CAR,MTL,13,MTL,CAR,44,57
139,CAR,NJD,8,NJD,CAR,15,23
