players_recieved,post_date,count
"PESCE, BRETT",2023-06-16,74
"DUBOIS, PIERRE-LUC ",2023-06-08,56
"HART, CARTER",2023-06-06,55
"DEBRINCAT, ALEX ",2023-06-08,48
"HART, CARTER",2023-06-07,47
"DEBRINCAT, ALEX ",2023-06-05,44
"DUBOIS, PIERRE-LUC ",2023-06-09,42
"HANIFIN, NOAH",2023-06-17,41
"KELLER, CLAYTON",2023-05-17,39
"HART, CARTER",2023-06-08,38
"DUBOIS, PIERRE-LUC ",2023-06-07,35
"HANIFIN, NOAH",2023-06-19,33
"LAUGHTON, SCOTT",2023-06-12,31
"LAUGHTON, SCOTT",2023-06-13,31
"DUBOIS, PIERRE-LUC ",2023-06-05,31
"KELLER, CLAYTON",2023-05-23,31
"DEBRINCAT, ALEX ",2023-06-09,30
2023 1ST (PIT),2023-06-15,29
"KELLER, CLAYTON",2023-05-18,29
"DUBOIS, PIERRE-LUC ",2023-06-10,29
"PESCE, BRETT",2023-06-17,29
"DEBRINCAT, ALEX ",2023-06-15,28
"PESCE, BRETT",2023-06-19,28
"DUBOIS, PIERRE-LUC ",2023-06-13,28
"DEBRINCAT, ALEX ",2023-06-06,28
"HANIFIN, NOAH",2023-06-18,27
"DEBRINCAT, ALEX ",2023-06-07,27
"NYLANDER, WILLIAM",2023-05-15,26
"KONECNY, TRAVIS",2023-05-18,26
"KELLER, CLAYTON",2023-05-30,25
2023 1ST (BOS),2023-06-13,25
"HANIFIN, NOAH",2023-06-14,24
"HANIFIN, NOAH",2023-06-16,24
"DUBOIS, PIERRE-LUC ",2023-06-12,24
"LAUGHTON, SCOTT",2023-06-14,24
"HELLEBUYCK, CONNOR",2023-06-05,24
"DUBOIS, PIERRE-LUC ",2023-06-16,24
"DUBOIS, PIERRE-LUC ",2023-06-14,23
2023 1ST (VAN),2023-06-12,23
"KELLER, CLAYTON",2023-05-19,23
"MANTHA, ANTHONY",2023-06-05,23
2023 1ST (BOS),2023-06-09,23
"DEBRINCAT, ALEX ",2023-06-14,23
"KONECNY, TRAVIS",2023-06-14,23
"HART, CARTER",2023-06-09,23
2023 1ST (PIT),2023-06-14,23
"HELLEBUYCK, CONNOR",2023-05-16,22
"KONECNY, TRAVIS",2023-06-06,22
"KONECNY, TRAVIS",2023-05-17,22
"MARNER, MITCHELL",2023-05-15,22
"LINDHOLM, ELIAS",2023-06-09,22
"YAMAMOTO, KAILER",2023-06-15,22
2023 1ST (BOS),2023-06-15,22
"DEBRINCAT, ALEX ",2023-06-10,21
"KONECNY, TRAVIS",2023-06-07,21
"DUBOIS, PIERRE-LUC ",2023-06-15,21
"DUBOIS, PIERRE-LUC ",2023-06-19,20
"DEBRINCAT, ALEX ",2023-06-19,20
2023 1ST (BOS),2023-06-14,20
"KELLER, CLAYTON",2023-05-26,20
"DEBRINCAT, ALEX ",2023-06-12,20
"MURRAY, MATT",2023-06-01,20
"KONECNY, TRAVIS",2023-06-11,20
"KELLER, CLAYTON",2023-05-22,20
"HANIFIN, NOAH",2023-06-20,19
"KONECNY, TRAVIS",2023-06-13,19
"LINDHOLM, ELIAS",2023-05-31,19
"HELLEBUYCK, CONNOR",2023-05-15,19
"LAFRENIA RE, ALEXIS ",2023-05-09,19
"BOQVIST, ADAM",2023-06-09,19
"MURRAY, MATT",2023-05-15,19
"HELLEBUYCK, CONNOR",2023-05-17,19
"PESCE, BRETT",2023-06-18,19
"GARLAND, CONOR",2023-06-01,19
"DUBOIS, PIERRE-LUC ",2023-05-09,19
2023 1ST (BOS),2023-05-24,19
"KELLER, CLAYTON",2023-05-20,19
"PEEKE, ANDREW",2023-06-09,19
"DUBOIS, PIERRE-LUC ",2023-05-18,19
2023 1ST (ANA),2023-06-15,19
2023 1ST (VAN),2023-06-09,19
"HANIFIN, NOAH",2023-06-13,18
"MURRAY, MATT",2023-05-24,18
"MARNER, MITCHELL",2023-05-17,18
2024 2ND (PIT),2023-06-05,18
"GARLAND, CONOR",2023-06-09,18
"MURRAY, MATT",2023-05-13,18
"PESCE, BRETT",2023-06-15,18
2023 1ST (NYI),2023-06-15,18
"MURRAY, MATT",2023-06-05,18
"BAILEY, JOSH",2023-05-09,18
"KONECNY, TRAVIS",2023-06-12,18
2023 1ST (BOS),2023-06-11,18
"MANTHA, ANTHONY",2023-06-12,18
"HELLEBUYCK, CONNOR",2023-05-13,18
2023 1ST (BOS),2023-06-02,18
"DEBRINCAT, ALEX ",2023-06-18,17
"HELLEBUYCK, CONNOR",2023-06-01,17
"MURRAY, MATT",2023-06-13,17
"MURRAY, MATT",2023-05-22,17
"HELLEBUYCK, CONNOR",2023-06-06,17
"KELLER, CLAYTON",2023-05-25,17
2023 1ST (NYI),2023-06-11,17
"LAFRENIERE, ALEXIS ",2023-06-14,17
"KONECNY, TRAVIS",2023-05-15,17
"DUBOIS, PIERRE-LUC ",2023-06-11,17
2023 1ST (BOS),2023-06-08,17
2023 1ST (BOS),2023-06-07,17
2023 1ST (BOS),2023-06-12,17
"GRANLUND, MIKAEL",2023-06-14,17
2023 1ST (BOS),2023-06-05,17
2023 1ST (FLA),2023-04-28,17
"KELLER, CLAYTON",2023-05-24,17
"KELLER, CLAYTON",2023-06-19,17
"KELLER, CLAYTON",2023-06-14,17
"BOQVIST, ADAM",2023-06-14,17
"HELLEBUYCK, CONNOR",2023-06-16,17
"HANIFIN, NOAH",2023-06-15,17
"LAFRENIA RE, ALEXIS ",2023-05-03,17
"DEBRINCAT, ALEX ",2023-04-16,16
"DURZI, SEAN",2023-05-25,16
"MURRAY, MATT",2023-06-14,16
2023 1ST (CAR),2023-05-25,16
"BOQVIST, ADAM",2023-06-11,16
"BAILEY, JOSH",2023-05-10,16
2023 1ST (CAR),2023-05-30,16
"HART, CARTER",2023-06-12,16
"HELLEBUYCK, CONNOR",2023-05-23,16
"MURRAY, MATT",2023-06-09,16
"KELLER, CLAYTON",2023-05-21,16
"MATTHEWS, AUSTON",2023-05-22,16
"LAUGHTON, SCOTT",2023-06-15,16
"HELLEBUYCK, CONNOR",2023-05-19,16
2023 1ST (PIT),2023-06-17,16
"SCHMALTZ, NICK",2023-05-17,16
2023 1ST (BOS),2023-06-19,16
"GRANLUND, MIKAEL",2023-06-19,16
"LAUGHTON, SCOTT",2023-06-06,16
"LAFRENIA RE, ALEXIS ",2023-05-02,16
"DURZI, SEAN",2023-06-16,16
"KONECNY, TRAVIS",2023-06-08,16
2023 1ST (VAN),2023-05-26,16
"LAUGHTON, SCOTT",2023-05-25,16
2023 1ST (BOS),2023-06-01,16
"DEBRINCAT, ALEX ",2023-06-16,16
2023 1ST (BOS),2023-05-31,16
"DEBRINCAT, ALEX ",2023-06-11,16
2023 1ST (PIT),2023-06-19,16
"BOESER, BROCK",2023-06-05,15
"ARVIDSSON, VIKTOR",2023-06-15,15
"MURRAY, MATT",2023-06-08,15
"MURRAY, MATT",2023-05-23,15
2023 1ST (BUF),2023-06-16,15
"DURZI, SEAN",2023-05-21,15
"LAUGHTON, SCOTT",2023-06-07,15
"NECAS, MARTIN",2023-05-25,15
"GARLAND, CONOR",2023-06-10,15
2023 1ST (NYI),2023-06-08,15
2024 2ND (NYI),2023-05-09,15
2023 1ST (PIT),2023-06-09,15
2023 1ST (PIT),2023-06-13,15
2023 1ST (PIT),2023-06-16,15
"KELLER, CLAYTON",2023-05-31,15
2024 2ND (PIT),2023-06-09,15
2023 1ST (VAN),2023-06-05,15
"YAMAMOTO, KAILER",2023-06-12,15
