players_traded,post_date,count
"MARNER, MITCHELL",2023-05-18,95
"MURRAY, MATT",2023-05-15,92
"MARNER, MITCHELL",2023-05-17,90
"MARNER, MITCHELL",2023-05-15,85
2023 1ST (BOS),2023-05-15,81
"MURRAY, MATT",2023-05-17,79
"MURRAY, MATT",2023-05-18,78
2023 1ST (BOS),2023-05-18,76
2023 1ST (BOS),2023-05-17,76
"MURRAY, MATT",2023-05-16,75
"MURRAY, MATT",2023-05-13,71
"MARNER, MITCHELL",2023-05-16,70
2023 1ST (BOS),2023-05-13,66
2023 1ST (BOS),2023-05-16,63
2023 1ST (BOS),2023-06-05,60
"MARNER, MITCHELL",2023-05-20,58
2023 1ST (BOS),2023-06-13,57
"MURRAY, MATT",2023-05-14,57
"MARNER, MITCHELL",2023-05-14,56
2023 1ST (BOS),2023-05-19,56
"MURRAY, MATT",2023-05-24,54
"MURRAY, MATT",2023-05-23,54
"MARNER, MITCHELL",2023-05-19,53
2023 1ST (BOS),2023-05-24,53
2023 1ST (BOS),2023-05-23,52
"MURRAY, MATT",2023-05-20,52
"ROBERTSON, NICHOLAS",2023-05-13,52
2023 1ST (BOS),2023-06-12,52
2023 1ST (BOS),2023-05-31,51
"MURRAY, MATT",2023-05-31,51
"MARNER, MITCHELL",2023-05-13,51
"MURRAY, MATT",2023-05-19,50
2023 1ST (BOS),2023-05-20,50
"NYLANDER, WILLIAM",2023-05-15,50
2023 1ST (BOS),2023-06-16,49
2023 1ST (BOS),2023-05-14,49
2023 1ST (BOS),2023-05-22,48
2023 1ST (BOS),2023-06-08,47
"MURRAY, MATT",2023-06-05,47
2023 1ST (BOS),2023-06-15,46
2023 1ST (BOS),2023-05-25,46
2023 1ST (BOS),2023-06-14,46
"MATTHEWS, AUSTON",2023-05-13,46
"ROBERTSON, NICHOLAS",2023-05-15,44
"YAMAMOTO, KAILER",2023-05-15,44
"ROBERTSON, NICHOLAS",2023-05-16,44
"ROBERTSON, NICHOLAS",2023-05-18,43
"NYLANDER, WILLIAM",2023-05-19,43
"MURRAY, MATT",2023-06-16,43
"MARNER, MITCHELL",2023-05-21,42
"NYLANDER, WILLIAM",2023-05-16,41
"MURRAY, MATT",2023-05-22,41
2023 1ST (BOS),2023-06-06,41
"MARNER, MITCHELL",2023-05-23,40
2023 1ST (BOS),2023-05-21,40
"ROBERTSON, NICHOLAS",2023-06-13,40
2023 1ST (BOS),2023-06-07,39
2023 1ST (BOS),2023-06-01,39
"MURRAY, MATT",2023-06-01,39
"MURRAY, MATT",2023-06-12,39
"MURRAY, MATT",2023-05-25,39
"NYLANDER, WILLIAM",2023-05-20,38
"ROBERTSON, NICHOLAS",2023-06-14,38
"ROBERTSON, NICHOLAS",2023-06-12,38
"MURRAY, MATT",2023-06-13,38
"MURRAY, MATT",2023-06-09,38
"MURRAY, MATT",2023-05-30,37
"MURRAY, MATT",2023-05-26,37
"MURRAY, MATT",2023-05-21,37
"NYLANDER, WILLIAM",2023-05-17,37
"BRODIE, TJ",2023-05-15,37
"ROBERTSON, NICHOLAS",2023-06-16,36
"MURRAY, MATT",2023-06-02,36
2023 1ST (BOS),2023-06-09,36
"MARNER, MITCHELL",2023-05-25,36
"ROBERTSON, NICHOLAS",2023-05-17,36
2023 1ST (BOS),2023-06-11,36
"CECI, CODY",2023-06-16,36
"MARNER, MITCHELL",2023-05-31,36
"BRODIE, TJ",2023-05-18,36
"LILJEGREN, TIMOTHY",2023-05-18,36
2024 3RD (NYI),2023-05-17,36
"NYLANDER, WILLIAM",2023-06-05,36
2023 1ST (BOS),2023-06-17,36
"MURRAY, MATT",2023-06-15,35
"ROBERTSON, NICHOLAS",2023-06-06,35
"ROBERTSON, NICHOLAS",2023-06-15,35
"MURRAY, MATT",2023-06-06,35
"MURRAY, MATT",2023-06-14,35
"ROBERTSON, NICHOLAS",2023-05-14,34
"YAMAMOTO, KAILER",2023-06-16,34
"MARNER, MITCHELL",2023-05-08,34
"MURRAY, MATT",2023-05-08,34
"CECI, CODY",2023-05-15,34
2023 1ST (BOS),2023-05-26,34
2024 3RD (NYI),2023-05-15,34
"LILJEGREN, TIMOTHY",2023-05-16,34
2023 1ST (BOS),2023-06-19,34
"NYLANDER, WILLIAM",2023-05-31,33
2024 3RD (NYI),2023-05-13,33
"TIMMINS, CONOR",2023-06-05,33
"MURRAY, MATT",2023-06-08,33
2023 1ST (BOS),2023-05-29,32
"NYLANDER, WILLIAM",2023-05-08,31
2024 3RD (NYI),2023-05-18,31
"MARNER, MITCHELL",2023-05-24,31
"LILJEGREN, TIMOTHY",2023-05-15,31
2023 1ST (BOS),2023-06-10,31
2023 1ST (BOS),2023-06-02,31
"NYLANDER, WILLIAM",2023-05-21,31
"FOEGELE, WARREN",2023-05-15,31
"TIMMINS, CONOR",2023-06-16,31
2023 1ST (PIT),2023-06-15,31
2024 3RD (NYI),2023-05-20,31
"NYLANDER, WILLIAM",2023-06-09,30
"MARNER, MITCHELL",2023-05-09,30
"MARNER, MITCHELL",2023-05-29,30
"MARNER, MITCHELL",2023-05-26,30
"ROBERTSON, NICHOLAS",2023-05-23,30
"MURRAY, MATT",2023-06-07,30
"ROBERTSON, NICHOLAS",2023-05-19,30
"NYLANDER, WILLIAM",2023-05-09,30
"MARNER, MITCHELL",2023-05-22,30
2023 1ST (BOS),2023-05-30,30
"BOQVIST, ADAM",2023-06-09,30
2023 1ST (BOS),2023-05-08,29
"ROBERTSON, NICHOLAS",2023-05-31,29
2023 1ST (PIT),2023-06-05,29
"LILJEGREN, TIMOTHY",2023-05-17,29
"NYLANDER, WILLIAM",2023-06-08,29
"BRODIE, TJ",2023-05-17,29
"HART, CARTER",2023-06-07,29
"ROBERTSON, NICHOLAS",2023-06-17,29
2024 1ST (TOR),2023-06-14,28
"NYLANDER, WILLIAM",2023-05-23,28
"NYLANDER, WILLIAM",2023-06-12,28
"NYLANDER, WILLIAM",2023-06-01,28
"MARNER, MITCHELL",2023-05-30,28
"TIMMINS, CONOR",2023-05-31,28
"NYLANDER, WILLIAM",2023-05-18,28
2023 1ST (BOS),2023-06-04,28
"HART, CARTER",2023-06-06,28
2023 1ST (BOS),2023-05-27,28
2024 3RD (NYI),2023-05-14,28
2023 1ST (PIT),2023-06-08,27
"MURRAY, MATT",2023-06-04,27
2024 3RD (NYI),2023-06-16,27
"ROBERTSON, NICHOLAS",2023-06-08,27
"SAROS, JUUSE",2023-06-05,27
"NYLANDER, WILLIAM",2023-05-13,27
"EDMUNDSON, JOEL",2023-06-05,27
2024 1ST (TOR),2023-06-06,27
"MURRAY, MATT",2023-05-29,27
"NYLANDER, WILLIAM",2023-06-13,27
"TIMMINS, CONOR",2023-06-07,27
"ROBERTSON, NICHOLAS",2023-05-21,27
"BRODIE, TJ",2023-06-05,27
"TIMMINS, CONOR",2023-06-14,27
"YAMAMOTO, KAILER",2023-06-15,27
"YAMAMOTO, KAILER",2023-06-13,27
"RUTTA, JAN",2023-06-01,26
2023 1ST (FLA),2023-06-14,26
"DEBRINCAT, ALEX ",2023-06-07,26
"GARLAND, CONOR",2023-06-16,26
"BRODIE, TJ",2023-06-01,26
"BRODIE, TJ",2023-06-13,26
"MURRAY, MATT",2023-05-27,26
"MARNER, MITCHELL",2023-06-05,26
"BRODIE, TJ",2023-06-16,26
2023 1ST (BOS),2023-05-28,26
"ROBERTSON, NICHOLAS",2023-06-07,26
2023 1ST (FLA),2023-06-08,26
"MATTHEWS, AUSTON",2023-05-08,26
"BRODIE, TJ",2023-06-08,26
2024 1ST (TOR),2023-06-16,26
"NYLANDER, WILLIAM",2023-06-02,26
"MURRAY, MATT",2023-06-17,26
"MURRAY, MATT",2023-06-19,26
"NYLANDER, WILLIAM",2023-05-30,26
2023 1ST (PIT),2023-06-09,25
"ROBERTSON, NICHOLAS",2023-06-11,25
"ROBERTSON, NICHOLAS",2023-05-24,25
2024 1ST (TOR),2023-05-13,25
2023 1ST (FLA),2023-05-09,25
"YAMAMOTO, KAILER",2023-06-14,25
"BRODIE, TJ",2023-05-19,25
"MURRAY, MATT",2023-05-09,25
"YAMAMOTO, KAILER",2023-06-12,25
"TIMMINS, CONOR",2023-05-18,25
2023 1ST (CAR),2023-05-25,25
"TIMMINS, CONOR",2023-06-12,25
2024 1ST (TOR),2023-06-13,25
"MURRAY, MATT",2023-06-11,25
"NYLANDER, WILLIAM",2023-05-22,25
"NYLANDER, WILLIAM",2023-06-11,25
"MATTHEWS, AUSTON",2023-05-23,25
"ROSLOVIC, JACK",2023-06-09,25
"YAMAMOTO, KAILER",2023-05-18,24
"RUTTA, JAN",2023-06-05,24
"YAMAMOTO, KAILER",2023-05-17,24
"YAMAMOTO, KAILER",2023-05-16,24
"TIMMINS, CONOR",2023-06-01,24
"MURRAY, MATT",2023-05-12,24
"ROBERTSON, NICHOLAS",2023-05-08,24
2024 3RD (NYI),2023-06-14,24
2023 1ST (BOS),2023-06-03,24
2024 1ST (TOR),2023-06-12,24
"GARLAND, CONOR",2023-06-19,24
2023 1ST (FLA),2023-06-05,24
2024 2ND (PIT),2023-06-01,24
2024 1ST (EDM),2023-06-16,24
"NYLANDER, WILLIAM",2023-06-14,24
"LILJEGREN, TIMOTHY",2023-05-19,24
2023 1ST (PIT),2023-06-14,24
2024 3RD (NYI),2023-06-12,24
"MARNER, MITCHELL",2023-06-01,24
"GOODROW, BARCLAY",2023-05-03,24
"BRODIE, TJ",2023-06-06,23
"DEBRINCAT, ALEX ",2023-06-08,23
"MARNER, MITCHELL",2023-06-08,23
"BRODIE, TJ",2023-05-16,23
"DVORAK, CHRISTIAN",2023-06-07,23
"TIMMINS, CONOR",2023-06-15,23
2023 1ST (BOS),2023-06-18,23
"RUTTA, JAN",2023-06-02,23
"BRODIE, TJ",2023-06-14,23
"BRODIE, TJ",2023-06-12,23
"ROBERTSON, NICHOLAS",2023-06-19,23
"MATTHEWS, AUSTON",2023-05-15,23
"HART, CARTER",2023-06-08,23
"NYLANDER, WILLIAM",2023-06-17,23
2024 3RD (NYI),2023-06-15,23
"JARNKROK, CALLE",2023-05-18,23
2024 3RD (NYI),2023-05-31,23
2024 1ST (TOR),2023-06-15,23
2024 3RD (NYI),2023-05-08,23
"TIMMINS, CONOR",2023-05-20,22
"LILJEGREN, TIMOTHY",2023-05-20,22
2023 1ST (FLA),2023-06-09,22
"DVORAK, CHRISTIAN",2023-06-05,22
"TIMMINS, CONOR",2023-06-17,22
2023 1ST (PIT),2023-06-01,22
"YAMAMOTO, KAILER",2023-06-17,22
"DUBOIS, PIERRE-LUC ",2023-04-28,22
"LILJEGREN, TIMOTHY",2023-05-14,22
"GRZELCYK, MATT",2023-05-01,22
"TIMMINS, CONOR",2023-06-06,22
"GRANLUND, MIKAEL",2023-04-14,22
"TIMMINS, CONOR",2023-06-13,22
"NYLANDER, WILLIAM",2023-06-04,22
2024 3RD (NYI),2023-05-16,22
"TIMMINS, CONOR",2023-06-11,22
2024 1ST (TOR),2023-06-07,22
2023 2ND (CBJ),2023-06-09,22
"MYERS, TYLER",2023-06-16,22
"ULLMARK, LINUS",2023-05-01,22
"GARLAND, CONOR",2023-06-17,22
"ROBERTSON, NICHOLAS",2023-06-01,22
"BRODIE, TJ",2023-05-21,22
"ROBERTSON, NICHOLAS",2023-05-20,22
"ROBERTSON, NICHOLAS",2023-06-05,22
"BRODIE, TJ",2023-06-11,21
"YAMAMOTO, KAILER",2023-06-06,21
"NYLANDER, WILLIAM",2023-05-26,21
2023 1ST (PIT),2023-06-16,21
"JARNKROK, CALLE",2023-06-16,21
"YAMAMOTO, KAILER",2023-05-25,21
2024 1ST (TOR),2023-05-15,21
"BRODIE, TJ",2023-05-23,21
"SAMSONOV, ILYA ",2023-06-08,21
"YAMAMOTO, KAILER",2023-05-29,21
2024 3RD (NYI),2023-05-22,21
"ROBERTSON, NICHOLAS",2023-05-25,21
2024 2ND (PIT),2023-06-05,21
2024 2ND (PIT),2023-06-03,21
2023 1ST (VAN),2023-05-24,21
"GARLAND, CONOR",2023-05-24,21
2024 3RD (NYI),2023-05-19,21
"BRODIE, TJ",2023-05-24,21
"MATTHEWS, AUSTON",2023-05-14,21
2024 1ST (TOR),2023-06-08,20
"GIRARD, SAMUEL",2023-05-09,20
"DEBRINCAT, ALEX ",2023-06-13,20
"LILJEGREN, TIMOTHY",2023-05-13,20
"TIMMINS, CONOR",2023-06-04,20
"MURRAY, MATT",2023-05-07,20
"BRODIE, TJ",2023-06-09,20
"TIMMINS, CONOR",2023-06-19,20
2023 1ST (PIT),2023-06-02,20
"CECI, CODY",2023-05-16,20
2023 1ST (BOS),2023-05-09,20
"NYLANDER, WILLIAM",2023-06-03,20
"ROBERTSON, NICHOLAS",2023-05-22,20
"BRODIE, TJ",2023-05-20,20
"BRODIE, TJ",2023-05-31,20
"LILJEGREN, TIMOTHY",2023-06-14,20
"BRODIE, TJ",2023-06-17,20
2024 3RD (NYI),2023-06-11,20
2024 1ST (EDM),2023-06-15,20
"TIMMINS, CONOR",2023-06-10,20
2024 3RD (NYI),2023-06-13,20
"CECI, CODY",2023-05-18,20
"NYLANDER, WILLIAM",2023-05-25,20
"RUTTA, JAN",2023-06-07,20
"BRODIE, TJ",2023-06-19,20
"MURRAY, MATT",2023-06-10,20
"ROBERTSON, NICHOLAS",2023-06-10,20
"FOEGELE, WARREN",2023-06-16,20
"ULLMARK, LINUS",2023-06-16,20
2023 2ND (EDM),2023-06-15,20
"DEBRINCAT, ALEX ",2023-06-06,20
"TIMMINS, CONOR",2023-05-16,19
2024 2ND (PIT),2023-04-14,19
"MURRAY, MATT",2023-05-28,19
"GOODROW, BARCLAY",2023-05-02,19
"CECI, CODY",2023-06-15,19
"CECI, CODY",2023-05-17,19
"DRURY, JACK",2023-06-14,19
"TIMMINS, CONOR",2023-06-08,19
"BRODIE, TJ",2023-06-15,19
"MURRAY, MATT",2023-06-03,19
"TIMMINS, CONOR",2023-05-13,19
"TIMMINS, CONOR",2023-05-30,19
"ULLMARK, LINUS",2023-05-09,19
"MATTHEWS, AUSTON",2023-05-20,19
"BRODIE, TJ",2023-06-04,19
"GRANLUND, MIKAEL",2023-04-16,19
"SAMSONOV, ILYA ",2023-05-13,19
"JOSEPH, MATHIEU",2023-06-06,19
2023 1ST (VAN),2023-06-12,19
"LILJEGREN, TIMOTHY",2023-06-13,19
2024 3RD (NYI),2023-06-07,19
"DESMITH, CASEY",2023-06-05,19
"RUTTA, JAN",2023-06-04,19
"ROBERTSON, NICHOLAS",2023-06-04,19
"BROBERG, PHILIP",2023-06-16,19
2023 1ST (PIT),2023-06-19,19
"YAMAMOTO, KAILER",2023-06-19,19
"YAMAMOTO, KAILER",2023-06-18,19
"RUTTA, JAN",2023-05-15,19
"DESMITH, CASEY",2023-06-01,19
"ROBERTSON, NICHOLAS",2023-06-09,19
"FORBORT, DEREK",2023-05-09,19
"ROBERTSON, NICHOLAS",2023-05-27,19
"LILJEGREN, TIMOTHY",2023-06-16,19
"BRODIE, TJ",2023-05-13,19
"HOFFMAN, MIKE",2023-06-05,19
"RUTTA, JAN",2023-04-14,19
2023 1ST (FLA),2023-06-07,19
"FORBORT, DEREK",2023-06-19,19
2023 1ST (PIT),2023-06-06,18
2024 3RD (NYI),2023-06-05,18
"LILJEGREN, TIMOTHY",2023-05-21,18
"NYLANDER, WILLIAM",2023-05-14,18
"MARNER, MITCHELL",2023-05-27,18
"MINTEN, FRASER",2023-06-12,18
"DEBRINCAT, ALEX ",2023-06-09,18
2023 1ST (VAN),2023-06-19,18
2024 2ND (PIT),2023-06-14,18
2024 3RD (NYI),2023-06-09,18
"NYLANDER, WILLIAM",2023-05-10,18
2024 1ST (EDM),2023-06-12,18
"TIMMINS, CONOR",2023-06-03,18
"DESMITH, CASEY",2023-06-07,18
"JOSEPH, MATHIEU",2023-06-07,18
2024 1ST (EDM),2023-06-10,18
"LUUKKONEN, UKKO-PEKKA",2023-06-16,18
"NYLANDER, WILLIAM",2023-06-06,18
"ULLMARK, LINUS",2023-06-05,18
2023 1ST (PIT),2023-05-15,18
"VLADAR, DANIEL",2023-06-14,18
2023 1ST (PIT),2023-06-10,18
2024 3RD (NYI),2023-05-23,18
"LAFRENIA RE, ALEXIS ",2023-05-02,18
2024 3RD (NYI),2023-05-24,18
"FORBORT, DEREK",2023-06-09,18
"TIMMINS, CONOR",2023-05-17,18
2024 2ND (EDM),2023-06-16,18
2024 1ST (TOR),2023-05-31,18
"BRODIE, TJ",2023-06-18,18
"BEAN, JAKE",2023-06-09,18
"PESCE, BRETT",2023-06-16,18
"NYLANDER, WILLIAM",2023-06-15,18
"LILJEGREN, TIMOTHY",2023-06-02,18
"TIMMINS, CONOR",2023-05-23,18
2023 1ST (CAR),2023-06-19,18
"NYLANDER, WILLIAM",2023-06-16,18
"YAMAMOTO, KAILER",2023-05-19,18
"RUTTA, JAN",2023-06-03,18
"SAMSONOV, ILYA ",2023-06-11,18
"DUBOIS, PIERRE-LUC ",2023-06-15,18
"CECI, CODY",2023-06-13,18
"MURRAY, MATT",2023-05-11,18
"YAMAMOTO, KAILER",2023-06-10,18
2024 4TH (TOR),2023-05-17,18
"DVORAK, CHRISTIAN",2023-06-08,18
"NYLANDER, WILLIAM",2023-05-29,17
"BRODIE, TJ",2023-05-29,17
2024 2ND (PHI),2023-06-14,17
"RUTTA, JAN",2023-06-14,17
2023 2ND (PHI),2023-06-19,17
"GRZELCYK, MATT",2023-06-05,17
"MATTHEWS, AUSTON",2023-05-22,17
"YAMAMOTO, KAILER",2023-06-08,17
"YAMAMOTO, KAILER",2023-05-30,17
2024 3RD (NYI),2023-06-19,17
"RUTTA, JAN",2023-06-09,17
"TIMMINS, CONOR",2023-05-15,17
2023 1ST (PIT),2023-06-13,17
"ROBERTSON, NICHOLAS",2023-06-18,17
2024 1ST (TOR),2023-05-17,17
"SHARANGOVICH, YEGOR ",2023-06-15,17
"LILJEGREN, TIMOTHY",2023-06-01,17
2023 1ST (PIT),2023-06-11,17
"NYLANDER, WILLIAM",2023-05-24,17
2023 1ST (BOS),2023-06-20,17
2023 3RD (NJD),2023-06-05,17
"JARNKROK, CALLE",2023-06-08,17
2024 1ST (TOR),2023-05-25,17
"CECI, CODY",2023-05-30,17
"MURRAY, MATT",2023-06-20,17
"ROBERTSON, NICHOLAS",2023-05-26,17
2024 1ST (TOR),2023-05-19,17
2024 1ST (TOR),2023-05-24,17
2023 1ST (PIT),2023-05-24,17
"YAMAMOTO, KAILER",2023-05-24,17
"RUTTA, JAN",2023-06-16,17
"ROBERTSON, NICHOLAS",2023-05-30,17
"CECI, CODY",2023-05-19,17
"JOKIHARJU, HENRI",2023-06-19,17
"YAMAMOTO, KAILER",2023-05-26,17
2024 2ND (PIT),2023-06-19,17
"BRODIE, TJ",2023-06-02,17
"DUBOIS, PIERRE-LUC ",2023-06-13,17
2024 1ST (CBJ),2023-06-09,17
"LUUKKONEN, UKKO-PEKKA",2023-06-19,17
"JOSEPH, MATHIEU",2023-06-08,17
"DUBOIS, PIERRE-LUC ",2023-04-29,17
"RUTTA, JAN",2023-05-19,17
"DUBOIS, PIERRE-LUC ",2023-06-08,17
2023 1ST (CAR),2023-06-14,17
"JOSEPH, PIERRE-OLIVIER",2023-06-05,17
"JARNKROK, CALLE",2023-05-23,17
"DUBOIS, PIERRE-LUC ",2023-06-11,17
2023 1ST (PIT),2023-06-18,17
"TIMMINS, CONOR",2023-06-02,17
"BRODIE, TJ",2023-06-03,17
"FORBORT, DEREK",2023-06-05,17
"TIMMINS, CONOR",2023-05-29,17
"ULLMARK, LINUS",2023-05-15,17
"BRODIE, TJ",2023-05-26,17
2024 1ST (TOR),2023-05-14,17
2023 1ST (PIT),2023-06-03,17
2024 3RD (NYI),2023-05-26,17
2023 1ST (FLA),2023-05-24,17
2023 2ND (PHI),2023-06-15,17
"HELLEBUYCK, CONNOR",2023-06-05,17
2023 1ST (PIT),2023-06-17,17
2024 1ST (TOR),2023-06-18,17
"SCHEIFELE, MARK",2023-04-28,17
"GRZELCYK, MATT",2023-05-10,16
"YAMAMOTO, KAILER",2023-05-23,16
"FORBORT, DEREK",2023-06-16,16
"ULLMARK, LINUS",2023-06-01,16
2024 1ST (TOR),2023-06-01,16
2024 1ST (TOR),2023-05-23,16
"MYERS, TYLER",2023-05-24,16
"GARLAND, CONOR",2023-06-18,16
"GARLAND, CONOR",2023-06-11,16
"GARLAND, CONOR",2023-06-09,16
"DEBRINCAT, ALEX ",2023-05-30,16
"MYERS, TYLER",2023-05-23,16
"OLOFSSON, VICTOR",2023-06-19,16
2024 2ND (PIT),2023-06-02,16
"MYERS, TYLER",2023-05-25,16
"SAMSONOV, ILYA ",2023-06-05,16
"BRODIE, TJ",2023-06-07,16
2024 2ND (PHI),2023-05-25,16
"GARLAND, CONOR",2023-05-25,16
"MARNER, MITCHELL",2023-06-13,16
"GRANLUND, MIKAEL",2023-06-05,16
2023 1ST (PIT),2023-05-18,16
"JARNKROK, CALLE",2023-06-17,16
"GRZELCYK, MATT",2023-06-16,16
"MARNER, MITCHELL",2023-06-06,16
"GRZELCYK, MATT",2023-05-15,16
2024 2ND (PIT),2023-06-06,16
"NYLANDER, WILLIAM",2023-05-12,16
"FORBORT, DEREK",2023-05-15,16
"LILJEGREN, TIMOTHY",2023-06-17,16
2024 2ND (PIT),2023-06-07,16
"YAMAMOTO, KAILER",2023-06-04,16
"HALL, TAYLOR",2023-06-05,16
"HELLEBUYCK, CONNOR",2023-06-12,16
"FORBORT, DEREK",2023-05-02,16
"FORBORT, DEREK",2023-05-24,16
"FORBORT, DEREK",2023-05-01,16
"TIMMINS, CONOR",2023-05-24,16
"YAMAMOTO, KAILER",2023-06-07,16
"DESMITH, CASEY",2023-06-02,16
"JARNKROK, CALLE",2023-05-15,16
"FOEGELE, WARREN",2023-06-12,16
"LUUKKONEN, UKKO-PEKKA",2023-06-12,16
"CECI, CODY",2023-06-06,16
"BRODIE, TJ",2023-05-08,16
"RUTTA, JAN",2023-06-12,16
2024 1ST (TOR),2023-06-17,16
"DESMITH, CASEY",2023-04-14,16
"GRZELCYK, MATT",2023-05-24,16
"MYERS, TYLER",2023-06-12,16
"CECI, CODY",2023-05-24,16
2023 1ST (CAR),2023-06-16,16
"CECI, CODY",2023-05-25,16
"CAMPBELL, JACK",2023-05-15,16
"YAMAMOTO, KAILER",2023-05-31,16
"DEBRINCAT, ALEX ",2023-06-15,15
2024 5TH (CHI),2023-05-17,15
"PESCE, BRETT",2023-06-19,15
2023 1ST (NYI),2023-06-15,15
"SAMSONOV, ILYA ",2023-05-14,15
2024 3RD (NYI),2023-06-06,15
