team_traded_x,players_traded_x,players_recieved_x,0_x,team_traded_y,players_traded_y,players_recieved_y,0_y,total
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",317,WPG,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),168,485
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",317,WPG,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),35,352
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",317,CAR,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),1,318
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",317,OTT,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),1,318
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",6,WPG,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),168,174
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",6,WPG,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),35,41
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",6,CAR,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),1,7
MTL,2023 1ST (FLA),"DUBOIS, PIERRE-LUC",6,OTT,"DUBOIS, PIERRE-LUC",2023 1ST (FLA),1,7
MTL,"DVORAK, CHRISTIAN","DUBOIS, PIERRE-LUC",300,WPG,"DUBOIS, PIERRE-LUC","DVORAK, CHRISTIAN",99,399
MTL,"DVORAK, CHRISTIAN","DUBOIS, PIERRE-LUC",300,WPG,"DUBOIS, PIERRE-LUC","DVORAK, CHRISTIAN",12,312
MTL,"DVORAK, CHRISTIAN","DUBOIS, PIERRE-LUC",300,CAR,"DUBOIS, PIERRE-LUC","DVORAK, CHRISTIAN",1,301
MTL,"DVORAK, CHRISTIAN","DUBOIS, PIERRE-LUC",4,WPG,"DUBOIS, PIERRE-LUC","DVORAK, CHRISTIAN",99,103
MTL,"DVORAK, CHRISTIAN","DUBOIS, PIERRE-LUC",4,WPG,"DUBOIS, PIERRE-LUC","DVORAK, CHRISTIAN",12,16
